ncbi_gene_id,organism,geneSymbol
10482,Homo sapiens (human),NXF1
108124,Mus musculus (house mouse),Napa
17957,Mus musculus (house mouse),Napb
25722,Rattus norvegicus (Norway rat),Scn4a
20271,Mus musculus (house mouse),Scn5a
6330,Homo sapiens (human),SCN4B
29715,Rattus norvegicus (Norway rat),Slc8a1
83814,Mus musculus (house mouse),Nedd4l
116690,Rattus norvegicus (Norway rat),Nfasc
18080,Mus musculus (house mouse),Nin
18082,Mus musculus (house mouse),Nipsnap1
24598,Rattus norvegicus (Norway rat),Nos1
53885,Mus musculus (house mouse),Nphp1
216274,Mus musculus (house mouse),Cep290
6059,Homo sapiens (human),ABCE1
10280,Homo sapiens (human),SIGMAR1
59167,Drosophila melanogaster (fruit fly),OS9
856135,Saccharomyces cerevisiae S288C," YPR024W, OSD1, YTA11"
853455,Saccharomyces cerevisiae S288C," YJL002C, NLT1"
852625,Saccharomyces cerevisiae S288C, YGL226C-A
855179,Saccharomyces cerevisiae S288C," YMR148W, OSW5"
4176,Homo sapiens (human),MCM7
8615,Homo sapiens (human),USO1
10728,Homo sapiens (human),PTGES3
64805,Homo sapiens (human),P2RY12
6300,Homo sapiens (human),MAPK12
16438,Mus musculus (house mouse),Itpr1
25262,Rattus norvegicus (Norway rat),Itpr1
83638,Homo sapiens (human),C11orf68
5887,Homo sapiens (human),RAD23B
10989,Homo sapiens (human),IMMT
821,Homo sapiens (human),CANX
2038,Homo sapiens (human),EPB42
5585,Homo sapiens (human),PKN1
114299,Homo sapiens (human),PALM2
9924,Homo sapiens (human),PAN2
6622,Homo sapiens (human),SNCA
5092,Homo sapiens (human),PCBD1
5093,Homo sapiens (human),PCBP1
5111,Homo sapiens (human),PCNA
5116,Homo sapiens (human),PCNT
8878,Homo sapiens (human),SQSTM1
10081,Homo sapiens (human),PDCD7
281969,Bos taurus (cattle),PDE1A
281970,Bos taurus (cattle),PDE1B
5156,Homo sapiens (human),PDGFRA
5159,Homo sapiens (human),PDGFRB
5160,Homo sapiens (human),PDHA1
845,Homo sapiens (human),CASQ2
10954,Homo sapiens (human),PDIA5
5105,Homo sapiens (human),PCK1
10452,Homo sapiens (human),TOMM40
5213,Homo sapiens (human),PFKM
18642,Mus musculus (house mouse),Pfkm
56421,Mus musculus (house mouse),Pfkp
5217,Homo sapiens (human),PFN2
8452,Homo sapiens (human),CUL3
5257,Homo sapiens (human),PHKB
801,Homo sapiens (human),CALM1
5066,Homo sapiens (human),PAM
2778,Homo sapiens (human),GNAS
1956,Homo sapiens (human),EGFR
853581,Saccharomyces cerevisiae S288C," YJR117W, AFC1, PIO2"
8874,Homo sapiens (human),ARHGEF7
5567,Homo sapiens (human),PRKACB
5568,Homo sapiens (human),PRKACG
11651,Mus musculus (house mouse),Akt1
8502,Homo sapiens (human),PKP4
5331,Homo sapiens (human),PLCB3
5347,Homo sapiens (human),PLK1
491,Homo sapiens (human),ATP2B2
5378,Homo sapiens (human),PMS1
5411,Homo sapiens (human),PNN
23649,Homo sapiens (human),POLA2
5431,Homo sapiens (human),POLR2B
64091,Homo sapiens (human),POPDC2
5499,Homo sapiens (human),PPP1CA
23759,Homo sapiens (human),PPIL2
5500,Homo sapiens (human),PPP1CB
5501,Homo sapiens (human),PPP1CC
7249,Homo sapiens (human),TSC2
9212,Homo sapiens (human),AURKB
5532,Homo sapiens (human),PPP3CB
5475,Homo sapiens (human),PPEF1
5470,Homo sapiens (human),PPEF2
63978,Homo sapiens (human),PRDM14
282322,Bos taurus (cattle),PRKACA
5566,Homo sapiens (human),PRKACA
5576,Homo sapiens (human),PRKAR2A
5577,Homo sapiens (human),PRKAR2B
207,Homo sapiens (human),AKT1
79033,Homo sapiens (human),ERI3
51322,Homo sapiens (human),WAC
23451,Homo sapiens (human),SF3B1
9128,Homo sapiens (human),PRPF4
51538,Homo sapiens (human),ZCCHC17
855552,Saccharomyces cerevisiae S288C, YNL169C
13385,Mus musculus (house mouse),Dlg4
1742,Homo sapiens (human),DLG4
5681,Homo sapiens (human),PSKH1
5724,Homo sapiens (human),PTAFR
5745,Homo sapiens (human),PTH1R
56813,Rattus norvegicus (Norway rat),Pth1r
5786,Homo sapiens (human),PTPRA
19267,Mus musculus (house mouse),Ptpre
9933,Homo sapiens (human),PUM3
5827,Homo sapiens (human),PXMP2
107975,Mus musculus (house mouse),Pacs1
2011,Homo sapiens (human),MARK2
18573,Mus musculus (house mouse),Pde1a
18574,Mus musculus (house mouse),Pde1b
100301531,Oryctolagus cuniculus (rabbit),2
224020,Mus musculus (house mouse),Pi4ka
18711,Mus musculus (house mouse),Pikfyve
320707,Mus musculus (house mouse),Atp2b3
381290,Mus musculus (house mouse),Atp2b4
76787,Mus musculus (house mouse),Ppfia3
19046,Mus musculus (house mouse),Ppp1cb
19047,Mus musculus (house mouse),Ppp1cc
19055,Mus musculus (house mouse),Ppp3ca
19056,Mus musculus (house mouse),Ppp3cb
18749,Mus musculus (house mouse),Prkacb
74142,Mus musculus (house mouse),Lonp1
81753,Rattus norvegicus (Norway rat),Pth2r
5859,Homo sapiens (human),QARS1
5795,Homo sapiens (human),PTPRJ
22630,Mus musculus (house mouse),Ywhaq
12315,Mus musculus (house mouse),Calm3
5878,Homo sapiens (human),RAB5C
6236,Homo sapiens (human),RRAD
5898,Homo sapiens (human),RALA
5899,Homo sapiens (human),RALB
5903,Homo sapiens (human),RANBP2
11186,Homo sapiens (human),RASSF1
9770,Homo sapiens (human),RASSF2
24239,Rattus norvegicus (Norway rat),Cacna1c
64356,Rattus norvegicus (Norway rat),Nrgn
161582,Homo sapiens (human),DNAAF4
65055,Homo sapiens (human),REEP1
80346,Homo sapiens (human),REEP4
10206,Homo sapiens (human),TRIM13
362912,Rattus norvegicus (Norway rat),Derl1
6014,Homo sapiens (human),RIT2
850728,Saccharomyces cerevisiae S288C, YLR039C
31293,Drosophila melanogaster (fruit fly),N
19087,Mus musculus (house mouse),Prkar2a
8780,Homo sapiens (human),RIOK3
120892,Homo sapiens (human),LRRK2
856817,Saccharomyces cerevisiae S288C," YER083C, HUR2, RMD7"
23317,Homo sapiens (human),DNAJC13
11236,Homo sapiens (human),RNF139
91694,Homo sapiens (human),LONRF1
84759,Homo sapiens (human),PCGF1
24766,Rattus norvegicus (Norway rat),Scn2a
51406,Homo sapiens (human),NOL7
59345,Homo sapiens (human),GNB4
9882,Homo sapiens (human),TBC1D4
10345,Homo sapiens (human),TRDN
337867,Homo sapiens (human),UBAC2
83853,Homo sapiens (human),ROPN1L
6202,Homo sapiens (human),RPS8
7178,Homo sapiens (human),TPT1
5305,Homo sapiens (human),PIP4K2A
6512,Homo sapiens (human),SLC1A7
51280,Homo sapiens (human),GOLM1
65979,Homo sapiens (human),PHACTR4
3778,Homo sapiens (human),KCNMA1
79649,Homo sapiens (human),MAP7D3
3559,Homo sapiens (human),IL2RA
818,Homo sapiens (human),CAMK2G
23411,Homo sapiens (human),SIRT1
55664,Homo sapiens (human),CDC37L1
2869,Homo sapiens (human),GRK5
576,Homo sapiens (human),ADGRB2
154075,Homo sapiens (human),SAMD3
10257,Homo sapiens (human),ABCC4
3358,Homo sapiens (human),HTR2C
14810,Mus musculus (house mouse),Grin1
18952,Mus musculus (house mouse),Septin4
20648,Mus musculus (house mouse),Snta1
30052,Mus musculus (house mouse),Pcsk1n
110078,Mus musculus (house mouse),Pygb
67427,Mus musculus (house mouse),Rps20
76960,Mus musculus (house mouse),Bcas1
67145,Mus musculus (house mouse),Tomm34
20226,Mus musculus (house mouse),Sars
214444,Mus musculus (house mouse),Cdk5rap2
16792,Mus musculus (house mouse),Laptm5
217331,Mus musculus (house mouse),Unk
11550,Mus musculus (house mouse),Adra1d
20740,Mus musculus (house mouse),Sptan1
13405,Mus musculus (house mouse),Dmd
6548,Homo sapiens (human),SLC9A1
7052,Homo sapiens (human),TGM2
51512,Homo sapiens (human),GTSE1
340547,Homo sapiens (human),VSIG1
6208,Homo sapiens (human),RPS14
6210,Homo sapiens (human),RPS15A
6247,Homo sapiens (human),RS1
856862,Saccharomyces cerevisiae S288C," YER125W, HPG1, MDP1, MUT2, NPI1, SMM1, UBY1"
23429,Homo sapiens (human),RYBP
6263,Homo sapiens (human),RYR3
6261,Homo sapiens (human),RYR1
6262,Homo sapiens (human),RYR2
104886,Mus musculus (house mouse),Rab15
19338,Mus musculus (house mouse),Rab33b
58222,Mus musculus (house mouse),Rab37
19339,Mus musculus (house mouse),Rab3a
69908,Mus musculus (house mouse),Rab3b
31332,Drosophila melanogaster (fruit fly),Rala
110351,Mus musculus (house mouse),Rap1gap
24855,Rattus norvegicus (Norway rat),Tsc2
66597,Mus musculus (house mouse),Trim13
116644,Rattus norvegicus (Norway rat),Rtn1
20168,Mus musculus (house mouse),Rtn3
20191,Mus musculus (house mouse),Ryr2
689560,Rattus norvegicus (Norway rat),Ryr2
851027,Saccharomyces cerevisiae S288C, YLR316C
6285,Homo sapiens (human),S100B
6192,Homo sapiens (human),RPS4Y1
851997,Saccharomyces cerevisiae S288C, YDR389W
5794,Homo sapiens (human),PTPRH
1739,Homo sapiens (human),DLG1
25252,Rattus norvegicus (Norway rat),Dlg1
773,Homo sapiens (human),CACNA1A
10274,Homo sapiens (human),STAG1
855315,Saccharomyces cerevisiae S288C," YMR272C, FAH1"
6344,Homo sapiens (human),SCTR
51119,Homo sapiens (human),SBDS
854840,Saccharomyces cerevisiae S288C, YIR022W
851824,Saccharomyces cerevisiae S288C, YDR238C
29927,Homo sapiens (human),SEC61A1
6418,Homo sapiens (human),SET
285672,Homo sapiens (human),SREK1IP1
6430,Homo sapiens (human),SRSF5
94186,Mus musculus (house mouse),Strn3
51308,Homo sapiens (human),REEP2
6455,Homo sapiens (human),SH3GL1
30948,Mus musculus (house mouse),Bin1
58234,Mus musculus (house mouse),Shank3
8924,Homo sapiens (human),HERC2
18221,Mus musculus (house mouse),Nudc
945,Homo sapiens (human),CD33
64383,Mus musculus (house mouse),Sirt2
142680,Homo sapiens (human),SLC34A3
23446,Homo sapiens (human),SLC44A1
856425,Saccharomyces cerevisiae S288C," YHR030C, BYC2, LYT2, MPK1, SLK2"
79811,Homo sapiens (human),SLTM
79008,Homo sapiens (human),SLX1B
6629,Homo sapiens (human),SNRPB2
54221,Homo sapiens (human),SNTG2
8724,Homo sapiens (human),SNX3
9021,Homo sapiens (human),SOCS3
6667,Homo sapiens (human),SP1
38863,Drosophila melanogaster (fruit fly),Ank2
2542467,Schizosaccharomyces pombe (fission yeast), SPAC1834.04
2541468,Schizosaccharomyces pombe (fission yeast)," SPAC1F5.09c, pak2"
2541652,Schizosaccharomyces pombe (fission yeast)," SPAC24B11.06c, phh1, spc1"
2543517,Schizosaccharomyces pombe (fission yeast), SPAC3G9.05
2541575,Schizosaccharomyces pombe (fission yeast), SPAC12B10.01c
2540134,Schizosaccharomyces pombe (fission yeast), SPBC17A3.03c
2540787,Schizosaccharomyces pombe (fission yeast)," SPBC1921.07c, SPBC21D10.13"
2541284,Schizosaccharomyces pombe (fission yeast)," SPBC947.08c, hpc2"
2539379,Schizosaccharomyces pombe (fission yeast), SPCC188.02
2539136,Schizosaccharomyces pombe (fission yeast), SPCC1919.05
2538986,Schizosaccharomyces pombe (fission yeast), SPCC895.06
56928,Homo sapiens (human),SPPL2B
399687,Homo sapiens (human),MYO18A
20742,Mus musculus (house mouse),Sptbn1
84654,Homo sapiens (human),SPZ1
6751,Homo sapiens (human),SSTR1
811,Homo sapiens (human),CALR
8027,Homo sapiens (human),STAM
57620,Homo sapiens (human),STIM2
10963,Homo sapiens (human),STIP1
6794,Homo sapiens (human),STK11
19165,Mus musculus (house mouse),Psen2
9322,Homo sapiens (human),TRIP10
23673,Homo sapiens (human),STX12
851905,Saccharomyces cerevisiae S288C, YDR310C
25777,Homo sapiens (human),SUN2
79723,Homo sapiens (human),SUV39H2
23512,Homo sapiens (human),SUZ12
6840,Homo sapiens (human),SVIL
855180,Saccharomyces cerevisiae S288C, YMR149W
6844,Homo sapiens (human),VAMP2
427272,Gallus gallus (chicken),SYK
6850,Homo sapiens (human),SYK
6853,Homo sapiens (human),SYN1
26556,Mus musculus (house mouse),Homer1
9456,Homo sapiens (human),HOMER1
6854,Homo sapiens (human),SYN2
853453,Saccharomyces cerevisiae S288C, YJL004C
6857,Homo sapiens (human),SYT1
81779,Rattus norvegicus (Norway rat),Sctr
52398,Mus musculus (house mouse),Septin11
56526,Mus musculus (house mouse),Septin6
20362,Mus musculus (house mouse),Septin8
20405,Mus musculus (house mouse),Sh3gl1
20479,Mus musculus (house mouse),Vps4b
29219,Rattus norvegicus (Norway rat),Snca
362242,Rattus norvegicus (Norway rat),Snta1
109552,Mus musculus (house mouse),Sri
10426,Homo sapiens (human),TUBGCP3
305614,Rattus norvegicus (Norway rat),Sptbn1
20430,Mus musculus (house mouse),Cyfip1
20823,Mus musculus (house mouse),Ssb
54305,Rattus norvegicus (Norway rat),Sstr2
268980,Mus musculus (house mouse),Strn
29843,Homo sapiens (human),SENP1
20964,Mus musculus (house mouse),Syn1
20965,Mus musculus (house mouse),Syn2
240057,Mus musculus (house mouse),Syngap1
20980,Mus musculus (house mouse),Syt2
53420,Mus musculus (house mouse),Syt5
75786,Mus musculus (house mouse),Ckap5
10460,Homo sapiens (human),TACC3
6880,Homo sapiens (human),TAF9
56041,Mus musculus (house mouse),Uso1
23102,Homo sapiens (human),TBC1D2B
6929,Homo sapiens (human),TCF3
6925,Homo sapiens (human),TCF4
916,Homo sapiens (human),CD3E
51567,Homo sapiens (human),TDP2
5052,Homo sapiens (human),PRDX1
10133,Homo sapiens (human),OPTN
7039,Homo sapiens (human),TGFA
4035,Homo sapiens (human),LRP1
3717,Homo sapiens (human),JAK2
57187,Homo sapiens (human),THOC2
6641,Homo sapiens (human),SNTB1
30012,Homo sapiens (human),TLX3
93377,Homo sapiens (human),OPALIN
55831,Homo sapiens (human),EMC3
201931,Homo sapiens (human),TMEM192
79064,Homo sapiens (human),TMEM223
32849,Drosophila melanogaster (fruit fly),wgn
23043,Homo sapiens (human),TNIK
100009581,Oryctolagus cuniculus (rabbit),type
10040,Homo sapiens (human),TOM1L1
93492,Homo sapiens (human),TPTE2
6955,Homo sapiens (human),TRA
9618,Homo sapiens (human),TRAF4
5708,Homo sapiens (human),PSMD2
7014,Homo sapiens (human),TERF2
28577,Homo sapiens (human),TRBV12-3
360213,Mus musculus (house mouse),Trim46
58869,Mus musculus (house mouse),Pex5l
7157,Homo sapiens (human),TP53
55503,Homo sapiens (human),TRPV6
7251,Homo sapiens (human),TSG101
9694,Homo sapiens (human),EMC2
53347,Homo sapiens (human),UBASH3A
7289,Homo sapiens (human),TULP3
72148,Mus musculus (house mouse),Tdrp
53972,Mus musculus (house mouse),Ngef
21985,Mus musculus (house mouse),Tpd52
108989,Mus musculus (house mouse),Tpr
53424,Mus musculus (house mouse),Tsnax
364398,Rattus norvegicus (Norway rat),Trim13
60445,Rattus norvegicus (Norway rat),Tsc1
11338,Homo sapiens (human),U2AF2
7314,Homo sapiens (human),UBB
7316,Homo sapiens (human),UBC
89910,Homo sapiens (human),UBE3B
854995,Saccharomyces cerevisiae S288C," YML013W, SEL1"
7368,Homo sapiens (human),UGT8
85451,Homo sapiens (human),UNK
79139,Homo sapiens (human),DERL1
54431,Homo sapiens (human),DNAJC10
374882,Homo sapiens (human),TMEM205
51449,Homo sapiens (human),PCYOX1
56674,Homo sapiens (human),TMEM9B
11045,Homo sapiens (human),UPK1A
10075,Homo sapiens (human),HUWE1
9098,Homo sapiens (human),USP6
9099,Homo sapiens (human),USP2
50875,Mus musculus (house mouse),Tmod3
50522,Rattus norvegicus (Norway rat),Ubc
25573,Rattus norvegicus (Norway rat),Ube2i
70620,Mus musculus (house mouse),Ube2v2
26268,Homo sapiens (human),FBXO9
7434,Homo sapiens (human),VIPR2
859,Homo sapiens (human),CAV3
533,Homo sapiens (human),ATP6V0B
854876,Saccharomyces cerevisiae S288C," YML097C, VPL31, VPT9"
853870,Saccharomyces cerevisiae S288C," YKR001C, GRD1, LAM1, SPO15, VPL1, VPT26"
852095,Saccharomyces cerevisiae S288C," YDR484W, SAC2"
7442,Homo sapiens (human),TRPV1
10490,Homo sapiens (human),VTI1B
234729,Mus musculus (house mouse),Vac14
26949,Mus musculus (house mouse),Vat1
116643,Rattus norvegicus (Norway rat),Vcp
24875,Rattus norvegicus (Norway rat),Vipr1
29555,Rattus norvegicus (Norway rat),Vipr2
856716,Saccharomyces cerevisiae S288C, YEL002C
11060,Homo sapiens (human),WWP2
207615,Mus musculus (house mouse),Wdr37
546,Homo sapiens (human),ATRX
7514,Homo sapiens (human),XPO1
7518,Homo sapiens (human),XRCC4
851264,Saccharomyces cerevisiae S288C, YAR002C-A
852276,Saccharomyces cerevisiae S288C, YBL007C
852223,Saccharomyces cerevisiae S288C, YBL057C
852586,Saccharomyces cerevisiae S288C, YBR283C
850440,Saccharomyces cerevisiae S288C," YCR077C, MRT1"
851719,Saccharomyces cerevisiae S288C, YDR141C
851931,Saccharomyces cerevisiae S288C, YDR331W
852044,Saccharomyces cerevisiae S288C, YDR434W
856669,Saccharomyces cerevisiae S288C, YEL042W
755,Homo sapiens (human),CFAP410
850507,Saccharomyces cerevisiae S288C, YFL036W
850580,Saccharomyces cerevisiae S288C," YFR024C-A, YFR024C"
850595,Saccharomyces cerevisiae S288C, YFR035C
851259,Saccharomyces cerevisiae S288C," YAL005C, YG100"
852615,Saccharomyces cerevisiae S288C, YGL235W
856409,Saccharomyces cerevisiae S288C," YHR016C, LSB4"
856595,Saccharomyces cerevisiae S288C, YHR188C
853256,Saccharomyces cerevisiae S288C, YJL183W
853536,Saccharomyces cerevisiae S288C," YJR073C, PEM2"
853538,Saccharomyces cerevisiae S288C, YJR075W
853812,Saccharomyces cerevisiae S288C, YKL053C-A
8766,Homo sapiens (human),RAB11A
850745,Saccharomyces cerevisiae S288C," YLR056W, PSO6, SYR1"
854993,Saccharomyces cerevisiae S288C," YML015C, TAF40"
854989,Saccharomyces cerevisiae S288C, YML019W
855324,Saccharomyces cerevisiae S288C, YMR281W
855355,Saccharomyces cerevisiae S288C," YMR307W, CWH52, GGP1"
855726,Saccharomyces cerevisiae S288C, YNL006W
855690,Saccharomyces cerevisiae S288C, YNL038W
855602,Saccharomyces cerevisiae S288C," YNL121C, MAS70, MOM72, OMP1"
855540,Saccharomyces cerevisiae S288C, YNL181W
855739,Saccharomyces cerevisiae S288C," YNR006W, DID7, GRD11, SSV17, VPL23, VPT27"
855764,Saccharomyces cerevisiae S288C," YNR030W, ECM39"
854051,Saccharomyces cerevisiae S288C, YOL102C
854325,Saccharomyces cerevisiae S288C, YOR154W
854536,Saccharomyces cerevisiae S288C, YOR354C
856078,Saccharomyces cerevisiae S288C," YPL029W, LPB2"
855874,Saccharomyces cerevisiae S288C, YPL227C
7533,Homo sapiens (human),YWHAH
7531,Homo sapiens (human),YWHAE
10971,Homo sapiens (human),YWHAQ
25898,Homo sapiens (human),RCHY1
9841,Homo sapiens (human),ZBTB24
5326,Homo sapiens (human),PLAGL2
49855,Homo sapiens (human),SCAPER
855021,Saccharomyces cerevisiae S288C, YMR009W
11519,Mus musculus (house mouse),Add2
2543245,Schizosaccharomyces pombe (fission yeast), SPAC56F8.06c
850456,Saccharomyces cerevisiae S288C, YCR094W
11764,Mus musculus (house mouse),Ap1b1
26747,Homo sapiens (human),NUFIP1
8945,Homo sapiens (human),BTRC
4609,Homo sapiens (human),MYC
22978,Homo sapiens (human),NT5C2
31792,Drosophila melanogaster (fruit fly),Nrg
9929,Homo sapiens (human),JOSD1
146,Homo sapiens (human),ADRA1D
36054,Drosophila melanogaster (fruit fly),egr
8663,Homo sapiens (human),EIF3C
4846,Homo sapiens (human),NOS3
155348,Human immunodeficiency virus 1,immunodeficiency
55052,Homo sapiens (human),MRPL20
56270,Homo sapiens (human),WDR45B
3781,Homo sapiens (human),KCNN2
3782,Homo sapiens (human),KCNN3
3783,Homo sapiens (human),KCNN4
10868,Homo sapiens (human),USP20
4193,Homo sapiens (human),MDM2
3768,Homo sapiens (human),KCNJ12
4900,Homo sapiens (human),NRGN
3308,Homo sapiens (human),HSPA4
2540792,Schizosaccharomyces pombe (fission yeast), SPBC4F6.06
2538762,Schizosaccharomyces pombe (fission yeast)," SPCC306.04c, kmt2"
23643,Homo sapiens (human),LY96
16565,Mus musculus (house mouse),Kif21b
64051,Mus musculus (house mouse),Sv2a
100986,Mus musculus (house mouse),Akap9
12322,Mus musculus (house mouse),Camk2a
227446,Mus musculus (house mouse),Relch
16170,Mus musculus (house mouse),Il16
107831,Mus musculus (house mouse),Adgrb1
239083,Mus musculus (house mouse),Ccnb1ip1
17196,Mus musculus (house mouse),Mbp
57159,Homo sapiens (human),TRIM54
852108,Saccharomyces cerevisiae S288C, YDR497C
2540436,Schizosaccharomyces pombe (fission yeast)," SPBC28F2.10c, ada3"
80297,Mus musculus (house mouse),Sptbn4
2539180,Schizosaccharomyces pombe (fission yeast)," SPCC16C4.09, orb4"
5879,Homo sapiens (human),RAC1
1017,Homo sapiens (human),CDK2
5718,Homo sapiens (human),PSMD12
2534,Homo sapiens (human),FYN
10988,Homo sapiens (human),METAP2
2538976,Schizosaccharomyces pombe (fission yeast), SPCC1840.04
2541346,Schizosaccharomyces pombe (fission yeast), SPBP8B7.08c
2541804,Schizosaccharomyces pombe (fission yeast), SPAC29A4.18
497770,Rattus norvegicus (Norway rat),Scn3a
2543544,Schizosaccharomyces pombe (fission yeast), SPAC664.07c
80184,Homo sapiens (human),CEP290
851024,Saccharomyces cerevisiae S288C, YLR314C
7013,Homo sapiens (human),TERF1
2540735,Schizosaccharomyces pombe (fission yeast), SPBC83.03c
281296,Bos taurus (cattle),MAPT
346562,Homo sapiens (human),GNAT3
1080,Homo sapiens (human),CFTR
851646,Saccharomyces cerevisiae S288C," YDR074W, HOG2, PFK3"
380450,Xenopus laevis (African clawed frog),ube2i.L
2538710,Schizosaccharomyces pombe (fission yeast)," SPCC1020.12c, SPCC14G10.06"
2542349,Schizosaccharomyces pombe (fission yeast), SPAC1782.05
